"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_Orion_LN_CA20min","CD68",0.36952592974112,FALSE,3,3
"Stanford_Orion_LN_CA20min","CD163",0.716390971059569,FALSE,4,4
"Stanford_Orion_LN_CA20min","CD8a",0.616439081199697,FALSE,4,4
"Stanford_Orion_LN_CA20min","CD4",0.487482009328207,FALSE,4,4
"Stanford_Orion_LN_CA20min","PDL1",0.510960517974521,FALSE,4,4
"Stanford_Orion_LN_CA20min","CD3e",0.509416070360364,FALSE,4,4
"Stanford_Orion_LN_CA20min","CD45RO",NA,TRUE,NA,10
"Stanford_Orion_LN_CA20min","PD1",0.528865931834964,FALSE,4,4
"Stanford_Orion_LN_CA20min","CD31",0.714098323635434,FALSE,4,4
"Stanford_Orion_LN_CA20min","SMA",0.735705673779119,FALSE,4,4
"Stanford_Orion_LN_CA20min","HLAABC",0.30400634061296,FALSE,4,4
"Stanford_Orion_LN_CA20min","Vimentin",0.469609848937754,FALSE,4,4
"Stanford_Orion_LN_Tris10min","CD68",0.522873510628571,FALSE,4,4
"Stanford_Orion_LN_Tris10min","CD163",0.714088692645836,FALSE,3,3
"Stanford_Orion_LN_Tris10min","CD8a",0.457209552520842,FALSE,2,2
"Stanford_Orion_LN_Tris10min","CD4",0.313833983002898,FALSE,3,3
"Stanford_Orion_LN_Tris10min","PDL1",0.227764341988131,FALSE,1,1
"Stanford_Orion_LN_Tris10min","CD3e",0.439565818347911,FALSE,3,3
"Stanford_Orion_LN_Tris10min","CD45RO",0.0944568511290895,FALSE,2,2
"Stanford_Orion_LN_Tris10min","PD1",0.204261280565116,FALSE,2,2
"Stanford_Orion_LN_Tris10min","CD31",0.602286557484056,FALSE,3,3
"Stanford_Orion_LN_Tris10min","SMA",0.463814561131237,FALSE,3,3
"Stanford_Orion_LN_Tris10min","HLAABC",0.224203911503543,FALSE,3,3
"Stanford_Orion_LN_Tris10min","Vimentin",0.424460188389736,FALSE,3,3
"Stanford_Orion_LN_Tris20min","CD68",0.325138447422018,FALSE,1,1
"Stanford_Orion_LN_Tris20min","CD163",0.612334706874339,FALSE,2,2
"Stanford_Orion_LN_Tris20min","CD8a",0.463007832512225,FALSE,3,3
"Stanford_Orion_LN_Tris20min","CD4",0.266680820369698,FALSE,2,2
"Stanford_Orion_LN_Tris20min","PDL1",0.240989659937863,FALSE,2,2
"Stanford_Orion_LN_Tris20min","CD3e",0.40416626690777,FALSE,2,2
"Stanford_Orion_LN_Tris20min","CD45RO",0.0832353089162166,FALSE,1,1
"Stanford_Orion_LN_Tris20min","PD1",0.222465387860098,FALSE,3,3
"Stanford_Orion_LN_Tris20min","CD31",0.522258403912566,FALSE,2,2
"Stanford_Orion_LN_Tris20min","SMA",0.443031139381712,FALSE,2,2
"Stanford_Orion_LN_Tris20min","HLAABC",0.205485046022883,FALSE,2,2
"Stanford_Orion_LN_Tris20min","Vimentin",0.331387209951044,FALSE,2,2
"Stanford_Orion_LN_Tris40min","CD68",0.343692560596952,FALSE,2,2
"Stanford_Orion_LN_Tris40min","CD163",0.59760802488608,FALSE,1,1
"Stanford_Orion_LN_Tris40min","CD8a",0.436849923449635,FALSE,1,1
"Stanford_Orion_LN_Tris40min","CD4",0.225585850736567,FALSE,1,1
"Stanford_Orion_LN_Tris40min","PDL1",0.325689413919405,FALSE,3,3
"Stanford_Orion_LN_Tris40min","CD3e",0.365947481582214,FALSE,1,1
"Stanford_Orion_LN_Tris40min","CD45RO",0.0949431397286166,FALSE,3,3
"Stanford_Orion_LN_Tris40min","PD1",0.184107271613724,FALSE,1,1
"Stanford_Orion_LN_Tris40min","CD31",0.501732855397341,FALSE,1,1
"Stanford_Orion_LN_Tris40min","SMA",0.428878724961676,FALSE,1,1
"Stanford_Orion_LN_Tris40min","HLAABC",0.19280190072657,FALSE,1,1
"Stanford_Orion_LN_Tris40min","Vimentin",0.280676758213698,FALSE,1,1
